127.0.0.1 - - [16/Mar/2024:11:35:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:23:47 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:23:47 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:24:13 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20840
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:24:27 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20840
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:24:28 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20840
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:24:46 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:25:03 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:25:51 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20853
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:25:53 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20853
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:25:53 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20853
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:26:10 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20830
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:27:22 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:27:52 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:28:24 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20843
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:28:24 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:28:24 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:28:35 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20843
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:28:59 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:29:13 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:30:09 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:13:41 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:13:41 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:14:05 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:16:41 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:16:43 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:16:45 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:16:45 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:16:46 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
0:0:0:0:0:0:0:1 - - [16/Mar/2024:15:16:46 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20848
